id,control,produto,ano,valor,categoria,product_id
2,vm_Tinto,  Tinto,1970,83300735,VINHO DE MESA,f4805707-b3e2-4be3-aab0-cdb7e6ba4c6d
3,vm_Rosado,  Rosado,1970,107681,VINHO DE MESA,263e39ff-d3b2-4725-94c0-a7b962658aaf
4,vm_Branco,  Branco,1970,14919190,VINHO DE MESA,29ae2986-7584-4595-b61c-3feb7d7fc86f
6,vm_Tinto,  Tinto,1970,435354,VINHO  FINO DE MESA,755dc3be-90fa-48f0-88aa-4cd3e655d759
7,vm_Rosado,  Rosado,1970,183234,VINHO  FINO DE MESA,d677681f-823f-41ab-a460-8b285e7b1c70
8,vm_Branco,  Branco,1970,3812041,VINHO  FINO DE MESA,d518e1a0-bcc2-449d-9c77-2a6eb0326cca
12,ve_Tinto,  Tinto,1970,4730346,VINHO ESPECIAL,f7fff6f0-e485-4c70-9488-2813def9370e
13,ve_Rosado,  Rosado,1970,1229564,VINHO ESPECIAL,4fe68e2c-895f-4b3e-9bdf-1f86f70df675
14,ve_Branco,  Branco,1970,1365879,VINHO ESPECIAL,0a73e303-47c2-41b3-986a-8f1237006fea
16,es_Espumante_Moscatel,  Espumante  Moscatel,1970,0,ESPUMANTES ,972f1d2a-e64d-45eb-96e7-c093e29fe19a
17,es_Espumante,  Espumante,1970,0,ESPUMANTES ,8eb71061-417a-476b-943c-f8d77af61e9a
18,es_Espumante Orgânico,  Espumante Orgânico,1970,0,ESPUMANTES ,54c61f53-e2d6-44b8-b3aa-7ce28c23989f
20,su_Suco_Natural,   Suco Natural Integral,1970,0,SUCO DE UVAS,8c6321ed-ffea-406a-a7dc-ddb50100ffdd
21,su_Suco_Reprocessado,   Suco Reprocessado/reconstituido,1970,0,SUCO DE UVAS,0322fa25-b5d3-4484-b577-e79db25b04a7
22,su_Suco_Orgânico,   Suco Orgânico,1970,0,SUCO DE UVAS,f50439ca-ff47-422f-9ab5-f9dc47ed28f0
23,su_Outros_sucos,   Outros sucos de uvas,1970,0,SUCO DE UVAS,279ec096-c534-49d4-b462-efc58b6dd330
26,ou_Outros vinhos (sem informdetalhada,  Outros vinhos (sem informação detalhada),1970,0,OUTROS PRODUTOS COMERCIALIZADOS,cd3664b1-3cce-4963-86bb-8cb2dad570d8
27,ou_Agrin,"  Agrin (fermentado, acetico misto)",1970,0,OUTROS PRODUTOS COMERCIALIZADOS,800541e6-fa5e-46e3-8ce1-66c65dc0862b
28,ou_Aguardente,  Aguardente de vinho 50°gl,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,6f320fae-03ad-4760-8e00-475f6b5a61e9
29,ou_Alcool_vinico,  Alcool vinico,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,a3ed30c8-c596-4ab0-830c-004c99d2a4d1
30,ou_Bagaceira,  Bagaceira (graspa),1970,1192987,OUTROS PRODUTOS COMERCIALIZADOS,c72b1ede-41a1-40dd-8494-67e22d125784
31,ou_Base_champenoise,  Base champenoise champanha,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,a76110d9-c78f-470d-bb68-e7c740fd010b
32,ou_Base_charmat,  Base charmat champanha,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,3c4adeaf-deef-4c55-a33c-8a8e9faba987
33,ou_Base_espumante,  Base espumante moscatel,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,7e9bcb5e-24fd-4cea-965d-042a365cbdb2
34,ou_Bebida,  Bebida de uva,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,403f5bad-0510-407f-92c4-b4f93d159773
35,ou_Borra_liqwuida,  Borra líquida,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,4d624326-a06a-4f70-9cb7-68091fa4cf96
36,ou_Borra_seca,  Borra seca,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,412c1a63-6673-4f8b-a49d-c6169ade4449
37,ou_Brandy,  Brandy (conhaque),1970,9388296,OUTROS PRODUTOS COMERCIALIZADOS,f5f0217c-516c-4457-981c-dcdbed190772
38,ou_Cooler,  Cooler,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,b5584f07-73f3-45a7-86bb-74722393abed
39,ou_Coquetel,  Coquetel com vinho,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,332e63ab-0923-43d4-b837-20cf6d212a05
40,ou_Destilado,  Destilado de vinho,1970,533987,OUTROS PRODUTOS COMERCIALIZADOS,b74c9fac-4b08-406c-839a-bd20828ce298
41,ou_Filtrado_doce,  Filtrado doce,1970,346403,OUTROS PRODUTOS COMERCIALIZADOS,a33e9587-2a0f-49a6-8aec-d26fe29ff643
42,ou_Jeropiga,  Jeropiga,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,91251d9f-d96e-4fb3-b7a1-022d4b523fc8
43,ou_Mistelas,  Mistelas,1970,178350,OUTROS PRODUTOS COMERCIALIZADOS,0cad2a08-6cea-4a39-8a59-276d18a0214b
44,ou_Mosto_concentrado,  Mosto concentrado,1970,44971,OUTROS PRODUTOS COMERCIALIZADOS,3ff6d039-ae8f-42cf-aa1d-ab8675647ca3
45,ou_Mosto_uva,  Mosto de uva,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,f74effcb-fefc-4aed-802f-15a6a8e34241
46,ou_Mosto_sulfitado,  Mosto sulfitado,1970,401030,OUTROS PRODUTOS COMERCIALIZADOS,d4be6ea6-f0b3-4fca-b4c0-23a7daf918a0
47,ou_Nectar,  Nectar de uva,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,01babfcd-ef58-431d-a051-44fd77f84edd
48,ou_Outros_produtos,  Outros produtos,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,a6d7018e-bf3a-4da6-ac37-9fe5e8dda893
49,ou_Polpa,  Polpa de uva,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,db70ddfa-f974-49c6-a0a0-aa2ecbb362ff
50,ou_Preparado_líquido,  Preparado líquido para refresco,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,ddf0b9d0-ebf8-4e1e-8de1-0a37df7c844c
51,ou_Refrigerante,  Refrigerante +50% suco,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,a5a24b40-f46f-4e9a-8ef6-9f9883e62ac7
52,ou_Sangria,  Sangria,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,633678a0-889e-4fbd-bcea-9250320b3e2f
53,ou_Vinagre_balsamico,  Vinagre balsamico,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,bc6a7190-0e4d-4f06-83b7-4001b0dfb12d
54,ou_Vinagre_duplo,  Vinagre duplo,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,90d4b734-a584-4175-95d9-f1faf200339e
55,ou_Vinagre_simples,  Vinagre simples,1970,1359297,OUTROS PRODUTOS COMERCIALIZADOS,1bf69ec3-5764-4fd4-b876-367ddec41adf
56,ou_Vinho_acetificado,  Vinho acetificado,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,cb7c6081-621d-46be-b15a-e8bc79d0d3a5
57,ou_Vinho_base,  Vinho base para espumantes,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,15fcaebc-8654-446c-91a8-1079ff24c6e9
58,ou_Vinho_composto,  Vinho composto,1970,3386173,OUTROS PRODUTOS COMERCIALIZADOS,6b0bde11-09b1-440c-bf9f-2ffaa5d40a61
59,ou_Vinho_licoroso,  Vinho licoroso,1970,3013056,OUTROS PRODUTOS COMERCIALIZADOS,9cabab04-d3a9-4b93-a063-958a0133d1c2
60,ou_Vinho_leve,  Vinho leve,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,e9262877-e49c-4997-a0ac-ba692cde0058
61,ou_Vinho_gaseificado,  Vinho gaseificado,1970,0,OUTROS PRODUTOS COMERCIALIZADOS,2ab46a3c-d5e3-4e0d-9961-83a0161e2ab5
2,vm_Tinto,  Tinto,1971,98522869,VINHO DE MESA,a2f23e4b-23e4-474d-a525-d30ce9c6d00e
3,vm_Rosado,  Rosado,1971,542274,VINHO DE MESA,ac4a3c4c-297f-43dd-b76c-addca7be08f4
4,vm_Branco,  Branco,1971,15333888,VINHO DE MESA,1869b658-3d3f-4658-8ece-ced764fe2fc1
6,vm_Tinto,  Tinto,1971,428927,VINHO  FINO DE MESA,fc1018d8-bd59-4d2d-93a4-07fbb7b3b331
7,vm_Rosado,  Rosado,1971,227299,VINHO  FINO DE MESA,772eef7a-cad5-48fb-9e3d-c04e6ce7464e
8,vm_Branco,  Branco,1971,4184143,VINHO  FINO DE MESA,810d08c6-4de8-46c9-add4-7a637cb14baa
12,ve_Tinto,  Tinto,1971,4802828,VINHO ESPECIAL,81cd2e17-ae15-4936-b131-1d4c309bd81d
13,ve_Rosado,  Rosado,1971,1662821,VINHO ESPECIAL,6cf443f8-4270-46f7-8dd9-ba22a818ef5f
14,ve_Branco,  Branco,1971,1359282,VINHO ESPECIAL,f008f9ec-6190-4a20-96f6-8d2274cb8aed
16,es_Espumante_Moscatel,  Espumante  Moscatel,1971,0,ESPUMANTES ,2f2e00b4-14c2-4ac7-80e9-5011a3557bb2
17,es_Espumante,  Espumante,1971,0,ESPUMANTES ,31af293a-c82c-4c1f-bd4b-da0a0cb5d38b
18,es_Espumante Orgânico,  Espumante Orgânico,1971,0,ESPUMANTES ,f2489b19-e6f5-465b-93b6-bde4ee111b03
20,su_Suco_Natural,   Suco Natural Integral,1971,0,SUCO DE UVAS,45fbe3fb-a777-4c46-92b3-7da7766dc4fb
21,su_Suco_Reprocessado,   Suco Reprocessado/reconstituido,1971,0,SUCO DE UVAS,46f26ecc-7038-4b84-8b53-9f34f5253e7c
22,su_Suco_Orgânico,   Suco Orgânico,1971,0,SUCO DE UVAS,0caa59f6-a1f9-49bf-83e9-7df5a31991b8
23,su_Outros_sucos,   Outros sucos de uvas,1971,0,SUCO DE UVAS,5640e813-62e1-4735-b6dc-340aa5319b50
26,ou_Outros vinhos (sem informdetalhada,  Outros vinhos (sem informação detalhada),1971,0,OUTROS PRODUTOS COMERCIALIZADOS,21988ec1-8c3e-4f85-a0c9-572be86e6fe2
27,ou_Agrin,"  Agrin (fermentado, acetico misto)",1971,0,OUTROS PRODUTOS COMERCIALIZADOS,e8b727c7-4fc2-4ab3-8396-e03bdc921bb5
28,ou_Aguardente,  Aguardente de vinho 50°gl,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,a56dd288-65d9-4a5c-878e-9d1c09f000cc
29,ou_Alcool_vinico,  Alcool vinico,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,a078e116-857d-4469-a920-1f6595bac36c
30,ou_Bagaceira,  Bagaceira (graspa),1971,1111014,OUTROS PRODUTOS COMERCIALIZADOS,f4087cd9-2e7d-4ebd-8c67-d9bb70f06c22
31,ou_Base_champenoise,  Base champenoise champanha,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,257fbe50-aeb0-4bde-ae56-0047e175186b
32,ou_Base_charmat,  Base charmat champanha,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,f8f25800-334b-4307-9b71-e5fed5644a24
33,ou_Base_espumante,  Base espumante moscatel,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,54ef185b-d276-4b52-af0c-39fdffc0619f
34,ou_Bebida,  Bebida de uva,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,7b506250-68e5-46b4-ad7d-f3158f1ce656
35,ou_Borra_liqwuida,  Borra líquida,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,c30a9ebb-2c59-4d9e-b96c-8cd9cece1fa5
36,ou_Borra_seca,  Borra seca,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,391ad287-707d-4aed-8d5b-3abec73b9977
37,ou_Brandy,  Brandy (conhaque),1971,9893167,OUTROS PRODUTOS COMERCIALIZADOS,0dc457cd-1abe-4708-b776-de2e04617435
38,ou_Cooler,  Cooler,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,78afbe89-3e05-425d-a403-966e27ea4f90
39,ou_Coquetel,  Coquetel com vinho,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,8d9ff908-b3d8-4ebf-8ae0-6532d1adae72
40,ou_Destilado,  Destilado de vinho,1971,1023876,OUTROS PRODUTOS COMERCIALIZADOS,71985264-cee4-4516-9966-dedf6614a094
41,ou_Filtrado_doce,  Filtrado doce,1971,432991,OUTROS PRODUTOS COMERCIALIZADOS,c99034f8-9a3a-4520-a62f-21af0c224992
42,ou_Jeropiga,  Jeropiga,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,23985f68-8140-4f3f-b020-9c9b07bbd71f
43,ou_Mistelas,  Mistelas,1971,81510,OUTROS PRODUTOS COMERCIALIZADOS,495fec9d-c4a8-485f-bd07-9f628f46cc9e
44,ou_Mosto_concentrado,  Mosto concentrado,1971,20502,OUTROS PRODUTOS COMERCIALIZADOS,43b748be-0bea-4b49-a815-1ab286a80afa
45,ou_Mosto_uva,  Mosto de uva,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,2ac9c014-ed85-4832-b680-494251cf3095
46,ou_Mosto_sulfitado,  Mosto sulfitado,1971,410850,OUTROS PRODUTOS COMERCIALIZADOS,21e77e0b-ba0a-48f1-a558-a84c1bf26e52
47,ou_Nectar,  Nectar de uva,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,35ac01c2-431f-4245-962c-2c036bbe6eef
48,ou_Outros_produtos,  Outros produtos,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,2aeae331-4ed7-4479-9d6a-4fdf02d80e56
49,ou_Polpa,  Polpa de uva,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,0aae3296-b19e-4a56-a340-f84db53fee81
50,ou_Preparado_líquido,  Preparado líquido para refresco,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,c83dc5c6-1493-4654-9e8c-41492ae42847
51,ou_Refrigerante,  Refrigerante +50% suco,1971,0,OUTROS PRODUTOS COMERCIALIZADOS,0b237afc-e33f-4268-af3a-544f49da3d6e
