id,control,cultivar,ano,valor,categoria,product_id
2,ti_Alicante Bouschet,Alicante Bouschet,1970,0,TINTAS,a8558de6-c2a4-465a-9caa-4327290eed52
3,ti_Ancelota,Ancelota,1970,0,TINTAS,4702ba51-70aa-4cd6-a3c6-cc9d11bfe52c
4,ti_Aramon,Aramon,1970,0,TINTAS,64893354-52af-4dd5-a837-96883d399a96
5,ti_Alfrocheiro,Alfrocheiro,1970,0,TINTAS,db54e212-2f0e-4986-b382-6764a4f89e78
6,ti_Arinarnoa,Arinarnoa,1970,0,TINTAS,e6989a51-05e6-462a-9756-f6ef76dc5c84
7,ti_Aspirant Bouschet,Aspirant Bouschet,1970,0,TINTAS,d6ce0364-6ffc-4ad0-9430-2aa468cb5358
8,ti_Barbera,Barbera,1970,4548313,TINTAS,685d8df8-f5f9-4b9e-a010-9a80fdb4f2ad
9,ti_Bonarda,Bonarda,1970,1631610,TINTAS,85165ed0-1bc2-4c34-9be1-04d8f803ff31
10,ti_Cabernet Franc,Cabernet Franc,1970,238837,TINTAS,26c3b68a-5ac5-42f9-b2c5-4ceb5723f197
11,ti_Cabernet Sauvignon,Cabernet Sauvignon,1970,0,TINTAS,c4b2b700-3919-42a0-bca0-ea6b45421f78
12,ti_ Caladoc,Caladoc,1970,0,TINTAS,bbd32acf-56a9-48e7-b7ee-611251f65851
13,ti_Campanario,Campanario,1970,0,TINTAS,0fb44a79-3539-4bb5-9b20-d1c8de6b21d9
14,ti_Canaiolo,Canaiolo,1970,596766,TINTAS,6d10f636-c799-4d57-bb30-6fbbf13431d5
15,ti_Carignan,Carignan,1970,0,TINTAS,3915781e-0afd-40cc-a710-314f26266a3b
16,ti_Carmenere,Carmenere,1970,1235,TINTAS,ff04ca8d-6a99-4d3f-844c-af2ef4e45b5c
17,ti_Castelão,Castelão,1970,0,TINTAS,996e736e-5e7b-45cd-a534-d3a3258cb3b8
18,ti_Corvina,Corvina,1970,0,TINTAS,890b0c69-4f9e-4124-b221-4cb734d35697
19,ti_Croatina,Croatina,1970,0,TINTAS,f2dcbb8c-be22-4e2e-aa04-1d73bb1ed14a
20,ti_Cinsaut,Cinsaut,1970,0,TINTAS,308b70ba-1935-4d91-bacd-c47ba461f067
21,ti_Dom Felder,Dom Felder,1970,0,TINTAS,b1075b9e-fe94-4f9f-a6c4-18895fdba53e
22,ti_Dolcetto,Dolcetto,1970,0,TINTAS,2cb76512-0d81-4993-9fcb-4203b07db823
23,ti_Durif,Durif,1970,0,TINTAS,d5c2546a-45ee-462d-93fb-0c973bd42322
24,ti_Egiodola,Egiodola,1970,0,TINTAS,16b97ed1-92d9-42fd-a404-e53050ce8186
25,ti_Ekigaina,Ekigaina,1970,0,TINTAS,f7c8b88b-60bd-4d4b-bda2-5b31ffb89b35
26,ti_Festival (Sugraone),Festival (Sugraone),1970,0,TINTAS,0dbd9663-0f78-4d5c-8d81-723184a74e96
27,ti_Franconia,Franconia,1970,0,TINTAS,4b2b1b15-9df9-4208-8167-0183bd1f327a
28,ti_Freisa,Freisa,1970,1661,TINTAS,8d536d17-4f64-404c-924c-a480e97afb79
29,ti_Gamay St Romain,Gamay St Romain,1970,0,TINTAS,d0a97b22-b87b-465b-9663-8bccf47e5c0c
30,ti_Gamay Beaujolais,Gamay Beaujolais,1970,0,TINTAS,d45149e8-1210-4c04-9913-0490129a557d
31,ti_Grand Noir,Grand Noir,1970,0,TINTAS,545af477-ec42-4833-8aff-623183def79c
32,ti_Grenache,Grenache,1970,19753,TINTAS,27244893-3eea-43bb-bc84-0c0e2d42c90e
33,ti_Jaen,Jaen,1970,0,TINTAS,3b39e413-7c9f-4611-b14c-6611daf64797
34,ti_Lagrein,Lagrein,1970,0,TINTAS,de767337-3f9c-498b-83ac-a526bb427668
35,ti_Lambrusco,Lambrusco,1970,2259,TINTAS,8dd42029-0259-4c7e-be79-ac35d41e7aa0
36,ti_Malbec,Malbec,1970,4097,TINTAS,7e8054e7-0ab3-45ae-ace9-6de10a0a064c
37,ti_Marzemina,Marzemina,1970,62546,TINTAS,144c85ea-b1cb-416f-8e1f-f9cd1ff81c27
38,ti_Merlot,Merlot,1970,185596,TINTAS,2abb0e98-0bbd-4e42-a772-f9e33eeea138
39,ti_Marselan,Marselan,1970,0,TINTAS,f521ddc7-0403-4368-a587-7d4eefb555a7
40,ti_Molinera,Molinera,1970,0,TINTAS,63d9e310-1f51-4eb1-92c0-fc9af7a9d788
41,ti_Montepulciano,Montepulciano,1970,0,TINTAS,4e2f62c9-3653-4c46-91cc-c114bc525505
42,ti_Moscato Bailey,Moscato Bailey,1970,0,TINTAS,6fab1784-db9b-4fed-922f-c52d2acf1437
43,ti_Napa Gamay,Napa Gamay,1970,0,TINTAS,931be535-ea4c-4fbf-8341-e9cc45352a00
44,ti_Nebbiolo,Nebbiolo,1970,0,TINTAS,30962a66-09d3-4bc0-9a60-d8aa6ad43ca5
45,ti_Petit Verdot,Petit Verdot,1970,0,TINTAS,b6e5a30a-0128-4f6f-b209-6e7001f432b0
46,ti_Petite Sirah,Petite Sirah,1970,0,TINTAS,6948699c-ab75-4e12-8a74-ceeb88e49ee4
47,ti_Pinotage,Pinotage,1970,0,TINTAS,383de70a-66b1-4d5a-a5c9-edd1f07c3cce
48,ti_Pinot Noir,Pinot Noir,1970,0,TINTAS,b62b4ba4-7ab0-4e23-8d16-afafc5c76329
49,ti_Pinot Saint George,Pinot Saint George,1970,0,TINTAS,e53b9466-7164-4564-8947-695a05e0920c
50,ti_Piriquita,Piriquita,1970,0,TINTAS,3e63c981-5110-4b8f-b95d-5973afbd3743
51,ti_Rebo,Rebo,1970,0,TINTAS,5df8eb7f-0b31-441e-96ae-5df7bcbabc51
52,ti_Refosco,Refosco,1970,0,TINTAS,6661bf14-f88e-4a50-ba2f-b33ee2a2db56
53,ti_Rondinella,Rondinella,1970,0,TINTAS,63960ff0-d58c-4d80-bd95-ee58bba7afb7
54,ti_Ruby Cabernet,Ruby Cabernet,1970,0,TINTAS,d00dddc9-5fc2-416b-9d3a-f55cdfae2ce4
55,ti_Sangiovese,Sangiovese,1970,27566,TINTAS,523bb546-e35b-4ba5-82c9-471f992439ef
56,ti_Sira (falsa),Sira (falsa),1970,3127989,TINTAS,12bff50f-3f30-447c-8040-6f8df57eb5db
57,ti_Tannat,Tannat,1970,0,TINTAS,046412f7-4d6e-434f-80e2-40827f583961
58,ti_Tempranillo,Tempranillo,1970,0,TINTAS,c9aa5a2f-321d-4b94-9e01-e7cb38982bf3
59,ti_Teroldego,Teroldego,1970,0,TINTAS,801737eb-0595-4b94-a66f-a0911b9fc5db
60,ti_Torrontes,Torrontes,1970,0,TINTAS,e3c7468a-b8b3-4f8b-ac28-f8d4d3a1d489
61,ti_Tinta Barroca,Tinta Barroca,1970,0,TINTAS,3a2a0728-d41f-47d6-ad3c-a6128e4e8bae
62,ti_Touriga Francesa,Touriga Francesa,1970,0,TINTAS,29230d17-4d2b-4b10-abf4-27c4a5b5d36b
63,ti_Touriga Nacional,Touriga Nacional,1970,0,TINTAS,ae994f9a-1ddb-458b-9851-7407c796c44a
64,ti_Tinta Madeira,Tinta Madeira,1970,0,TINTAS,843ebbb4-6104-484f-a04a-b97b9266af52
65,ti_Tintoria,Tintoria,1970,0,TINTAS,df48c71f-b4d1-4db3-acad-5d0f368f4cb4
66,ti_Trincdeira,Trincdeira,1970,0,TINTAS,11719b17-8694-4b3f-924f-1b2e4cfaf8b8
67,ti_Trousseau,Trousseau,1970,0,TINTAS,4159c6f0-792a-44de-9b1a-596937c28d3c
68,ti_Zinfandel,Zinfandel,1970,0,TINTAS,4745fdde-7f89-4b02-804e-22b59ceff502
69,ti_Outras1,Outras1,1970,0,TINTAS,ebf22f7a-6213-4e6b-a57d-73ddc03e8172
71,br_Aliatico,Aliatico,1970,0,BRANCAS E ROSADAS,3c99fc28-7f61-46da-a822-61a4d1b00810
72,br_Aligote,Aligote,1970,530,BRANCAS E ROSADAS,0c0bb5bc-9727-4a09-829b-c603009b9ea7
73,br_Altesse,Altesse,1970,0,BRANCAS E ROSADAS,7234bc91-c31b-4dcf-8b2a-10668f0a89db
74,br_Alvarinho,Alvarinho,1970,0,BRANCAS E ROSADAS,4517e9d7-ccc2-4ad7-8f52-f07e14cee142
